BD,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10,MD11,MD12,MD13,MD14,MD15,MD16,MD17,MD18,MD19,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP,IDMAP_1,IPCA_1,LAMP_1,LMDS_1,MDS_1,PBC_1,TSNE_1,UMAP_1
base_5_5_10,tabular,500,10,0.9,0.0,18.0,0.0,0.0,0.16184,0.01046,-0.08175,0.41715,0.01655,0.12864,0.25061,2.93013,0.00159,0.03536,0.15039,0.27656,0.28071,0.17121,0.06543,0.01585,0.00266,0.00024,0.67685,0.28105,0.03929,0.00281,2.0,6.5,3.5,8.0,6.5,5.0,1.0,3.5,2.0,6.5,3.5,8.0,6.5,5.0,1.0,3.5
base_5_6_10,tabular,500,10,0.9,0.0,0.02,0.0,0.0,0.15776,0.01393,-0.15028,0.41905,0.01651,0.12851,0.19768,2.92961,0.00225,0.03561,0.14355,0.2723,0.28606,0.17543,0.06623,0.01594,0.00245,0.00018,0.67862,0.27715,0.04176,0.00247,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0,5.0,8.0,4.0,7.0,2.0,6.0,1.0,3.0
base_5_7_10,tabular,500,10,1.0,0.0,14.0,0.0,0.0,0.10482,0.01657,-0.00259,0.38679,0.01319,0.11485,0.33261,3.16694,0.00165,0.03929,0.19054,0.33503,0.2744,0.11873,0.03301,0.00641,0.00085,0.00008,0.68673,0.26826,0.04088,0.00412,4.0,8.0,5.5,7.0,2.0,5.5,1.0,3.0,4.0,8.0,5.5,7.0,2.0,5.5,1.0,3.0
base_5_8_10,tabular,500,10,0.9,0.0,22.0,0.0,0.0,0.18375,-0.02162,-0.16807,0.43009,0.01563,0.12501,0.12853,2.94435,0.00135,0.02887,0.12115,0.25741,0.3095,0.19264,0.07037,0.01627,0.00233,0.00011,0.68073,0.27307,0.04386,0.00234,5.5,7.0,2.0,8.0,4.0,5.5,1.0,3.0,5.5,7.0,2.0,8.0,4.0,5.5,1.0,3.0
base_5_9_10,tabular,500,10,0.9,0.0,14.0,0.0,0.0,0.15889,-0.02297,-0.21529,0.43271,0.01543,0.12422,0.13706,2.91026,0.00123,0.02526,0.1182,0.25917,0.30698,0.19638,0.07432,0.01651,0.00176,0.00017,0.67873,0.27654,0.04287,0.00186,3.5,7.0,5.0,8.0,2.0,6.0,1.0,3.5,3.5,7.0,5.0,8.0,2.0,6.0,1.0,3.5
bodyfat,tabular,252,14,0.07143,0.0,0.16667,0.0,5.34861,0.52474,0.40498,7.33246,0.23827,0.01614,0.12706,0.68948,3.8384,0.13979,0.31572,0.18902,0.25988,0.07623,0.01192,0.00272,0.00294,0.00126,0.00051,0.66132,0.31692,0.01486,0.00689,3.0,8.0,4.0,7.0,2.0,6.0,1.0,5.0,3.0,8.0,4.0,7.0,2.0,6.0,1.0,5.0
breast-cancer-wisconsin,tabular,699,10,0.1,0.00229,0.20172,2.2648,0.17281,0.0,13.6457,255.86,0.38174,0.06013,0.24522,0.22603,1.82355,0.15524,0.20339,0.06675,0.08373,0.12386,0.13629,0.12231,0.06837,0.0294,0.01067,0.55611,0.42673,0.01716,0.0,2.0,7.0,5.0,6.0,3.5,8.0,1.0,3.5,2.0,7.0,5.0,6.0,3.5,8.0,1.0,3.5
breast-tissue,tabular,106,9,0.11111,0.0021,0.09434,0.0,0.0,0.50989,2.25353,9.72883,0.27883,0.03077,0.17542,0.98976,4.31181,0.15364,0.24834,0.17305,0.2097,0.11051,0.05049,0.03827,0.00234,0.00395,0.0097,0.70386,0.26056,0.0221,0.01348,2.0,5.0,4.0,6.0,1.0,8.0,3.0,7.0,2.0,5.0,4.0,6.0,1.0,8.0,3.0,7.0
CastMetal1,tabular,327,37,0.02703,0.04579,0.17431,4.21404,0.26283,0.39846,3.26969,21.9128,0.21327,0.01342,0.11585,2.54835,14.11485,0.0952,0.42815,0.33485,0.10375,0.01493,0.00576,0.00182,0.0078,0.0042,0.00353,0.82456,0.14685,0.01075,0.01784,3.5,8.0,5.0,6.5,2.0,6.5,1.0,3.5,3.5,8.0,5.0,6.5,2.0,6.5,1.0,3.5
chatfield_4,tabular,235,11,0.36364,0.0236,0.04681,0.0,0.0,0.86682,1.07014,0.85231,0.27418,0.0337,0.18357,1.10698,3.88754,0.14555,0.29405,0.20233,0.1417,0.08878,0.05761,0.03466,0.02262,8,0.00469,0.71984,0.2272,0.04364,0.00931,1.0,3.5,2.0,5.0,8.0,6.0,3.5,7.0,1.0,3.5,2.0,5.0,8.0,6.0,3.5,7.0
clean1,tabular,476,167,0.17964,0.00357,0.40126,5.70424,0.29201,0.28132,-0.21211,0.29902,0.56308,0.02412,0.1553,-0.19853,2.12373,0.00008,0.00418,0.0367,0.14408,0.18793,0.15444,0.24885,0.18868,0.03103,0.00404,0.62529,0.35161,0.02303,0.00007,4.0,7.0,3.0,8.0,6.0,5.0,1.0,2.0,4.0,7.0,3.0,8.0,6.0,5.0,1.0,2.0
clean2,tabular,6598,167,0.20958,0.00283,0.39057,6.87728,0.12622,0.0,0.0,0.0,0.57364,0.0207,0.14386,-0.35213,2.33323,0.00036,0.0028,0.02337,0.12769,0.1621,0.17909,0.30269,0.17058,0.03064,0.00068,0.6276,0.34847,0.02327,0.00066,5.0,8.0,5.0,7.0,5.0,2.0,1.0,3.0,5.0,8.0,5.0,7.0,5.0,2.0,1.0,3.0
cnae9,texto,1080,856,0.32009,0.99218,0.15741,0.05129,0.00296,0.0,0.0,0.0,0.20529,0.04106,0.20264,0.38529,1.70383,0.4971,0.0099,0.08265,0.18857,0.14877,0.05532,0.01365,0.00371,0.00032,0.00001,0.78432,0.20026,0.01521,0.00021,6.0,5.0,4.0,8.0,7.0,2.0,1.0,3.0,6.0,5.0,4.0,8.0,7.0,2.0,1.0,3.0
coil20,imagem,1440,400,105.0,0.17009,0.28472,0.0,0.0,0.23881,1.13468,7.29891,0.5932,0.02101,0.14493,-0.66885,3.95853,0.00609,0.01094,0.01674,0.05304,0.14533,0.25851,0.26936,0.18675,0.04907,0.00417,0.70424,0.25381,0.02879,0.01317,6.0,8.0,4.0,7.0,5.0,3.0,2.0,1.0,6.0,8.0,4.0,7.0,5.0,3.0,2.0,1.0
collins,tabular,500,21,0.04762,0.01924,98.0,0.0,3.64856,0.22815,1.15383,3.71987,0.42604,0.02294,0.15145,0.26554,2.56188,0.00349,0.05202,0.16668,0.23969,0.22811,0.16678,0.10051,0.03598,0.00634,0.00041,0.65614,0.30907,0.03404,0.00076,2.0,6.0,5.0,7.0,3.0,8.0,1.0,4.0,2.0,6.0,5.0,7.0,3.0,8.0,1.0,4.0
communities,tabular,1994,127,0.00787,0.20043,0.28084,3.7566,0.11345,0.22687,1.9317,11.8163,0.38224,0.01759,0.13264,0.40396,2.83946,0.00223,0.06753,0.22916,0.27731,0.23312,0.12747,0.04952,0.01174,0.00184,0.00008,0.6651,0.29784,0.03403,0.00303,3.0,8.0,4.0,6.0,5.0,7.0,1.0,2.0,3.0,8.0,4.0,6.0,5.0,7.0,1.0,2.0
CostaMadre1,tabular,296,37,0.02703,0.04775,0.19932,3.98247,0.25944,0.41277,3.62291,30029.0,0.20411,0.01045,0.10224,2.4544,16.48579,0.10234,0.44001,0.33704,0.09514,0.01047,0.00827,0.00011,0.0006,0.00186,0.00417,0.78555,0.19059,0.01008,0.01379,2.0,8.0,7.0,6.0,1.0,5.0,3.0,4.0,2.0,8.0,7.0,6.0,1.0,5.0,3.0,4.0
crx,tabular,690,15,0.06667,0.09449,0.25072,1.80648,0.08886,0.17544,4.57703,56.9047,0.54529,0.01935,0.1391,-0.59776,3.44111,0.00443,0.01494,0.0383,0.08507,0.1879,0.29155,0.25875,0.10613,0.01205,0.00088,0.69614,0.25539,0.04151,0.00697,8.0,7.0,2.5,4.5,4.5,6.0,1.0,2.5,8.0,7.0,2.5,4.5,4.5,6.0,1.0,2.5
ctg,tabular,2126,39,0.02564,0.24593,0.26482,2.71055,0.05786,0.14411,3.70271,39.3368,0.53099,0.01505,0.12269,-0.99141,4.31091,0.00142,0.01671,0.05905,0.05708,0.14218,0.45727,0.22115,0.04024,0.00474,0.00016,0.75232,0.1719,0.0676,0.00818,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,8.0,5.0,7.0,2.0,6.0,1.0,3.0
data_k12d22n11,tabular,500,22,0.40909,0.0,0.0,0.0,0.0,0.24828,0.1157,-1.15188,0.67364,0.04499,0.2121,-2.16062,7.29789,0.08151,0.0,0.0,0.0,0.0138,0.0443,0.3027,0.35619,0.14953,0.05197,0.85198,0.06652,0.00831,0.07319,4.5,6.0,4.5,8.0,2.0,7.0,1.0,3.0,4.5,6.0,4.5,8.0,2.0,7.0,1.0,3.0
data_k12d22n12,tabular,500,22,0.40909,0.0,84.0,0.0,0.0,0.26192,-0.02972,-1.18245,0.67843,48.0,0.2191,-2.02578,6.79085,0.08151,0.0,0.0,0.0,0.01414,0.07013,0.22466,0.35622,0.20035,0.05299,0.84878,0.06972,0.04257,0.03894,6.0,7.0,4.0,5.0,3.0,8.0,2.0,1.0,6.0,7.0,4.0,5.0,3.0,8.0,2.0,1.0
data_k12d22n13,tabular,500,22,0.40909,0.0,0.0,0.0,0.0,0.24052,0.05252,-1.06707,0.75241,0.05399,0.23236,-2.2444,7.30503,0.08143,0.00007,0.0,0.0,0.0,0.04212,0.08986,0.20522,0.40207,0.17923,0.91715,0.00135,0.01171,0.0698,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0
data_k12d22n14,tabular,500,22,0.40909,0.0,166.0,0.0,0.0,0.24088,-0.20569,-1.01188,0.69423,0.04687,0.2165,-2.21999,7.43137,0.08151,0.0,0.0,0.0,0.0,0.04079,0.2203,0.34816,0.27915,0.03009,0.89736,0.02113,0.00417,0.07734,4.0,8.0,2.5,7.0,6.0,5.0,1.0,2.5,4.0,8.0,2.5,7.0,6.0,5.0,1.0,2.5
data_k12d22n15,tabular,500,22,0.40909,0.0,106.0,0.0,0.0,0.25307,-0.03834,-1.10766,0.65457,0.04242,0.20597,-2.13078,7.09218,0.08151,0.0,0.0,0.00216,0.01753,0.06798,0.31577,0.36347,0.13753,0.01404,0.86507,0.05343,0.02139,0.06011,4.0,6.5,5.0,6.5,3.0,8.0,2.0,1.0,4.0,6.5,5.0,6.5,3.0,8.0,2.0,1.0
data_k12d23n11,tabular,500,23,0.3913,0.0,124.0,0.0,0.0,0.22957,0.05486,-0.98108,0.69709,0.04621,0.21497,-2.33641,7.83611,0.08151,0.0,0.0,0.0,0.0,0.02213,0.21945,0.36653,0.26733,0.04305,0.88455,0.03395,0.00039,0.08111,6.5,8.0,5.0,6.5,3.0,4.0,1.0,2.0,6.5,8.0,5.0,6.5,3.0,4.0,1.0,2.0
data_k12d23n12,tabular,500,23,0.3913,0.0,96.0,0.0,0.0,0.24024,-0.01759,-1.00467,0.65824,0.04265,0.20653,-2.06844,6.96691,0.08151,0.0,0.0,0.0,0.00459,0.09999,0.30445,0.34002,0.14397,0.02547,0.8796,0.03889,0.03026,0.05125,3.0,8.0,6.0,5.0,4.0,7.0,2.0,1.0,3.0,8.0,6.0,5.0,4.0,7.0,2.0,1.0
data_k12d23n13,tabular,500,23,0.3913,0.0,0.0,0.0,0.0,0.25464,-0.19306,-1.17294,0.67954,0.04601,0.2145,-2.09871,7.04583,0.08151,0.0,0.0,0.0,0.00068,0.06806,0.26789,0.30632,0.24377,0.03177,0.8824,0.0361,0.02059,0.06092,4.0,5.0,6.0,8.0,3.0,7.0,1.5,1.5,4.0,5.0,6.0,8.0,3.0,7.0,1.5,1.5
data_k12d23n14,tabular,500,23,0.3913,0.0,0.14,0.0,0.0,0.22744,-0.08852,-1.0674,0.73394,0.05009,0.22381,-2.40028,8.00828,0.08151,0.0,0.0,0.0,0.0,0.00373,0.10951,0.34432,0.3641,0.09684,0.89772,0.02078,0.0006,0.08091,7.0,5.5,4.0,5.5,3.0,8.0,2.0,1.0,7.0,5.5,4.0,5.5,3.0,8.0,2.0,1.0
data_k12d23n15,tabular,500,23,0.3913,0.0,338.0,0.0,0.0,0.2521,-0.05708,-0.78877,0.69238,0.04896,0.22127,-1.98825,6.63063,0.08151,0.0,0.0,0.0,0.0003,0.07578,0.2357,0.25608,0.30324,0.04739,0.87692,0.04157,0.05235,0.02915,4.5,7.0,4.5,6.0,3.0,8.0,1.0,2.0,4.5,7.0,4.5,6.0,3.0,8.0,1.0,2.0
data_k12d24n11,tabular,500,24,0.41667,0.0,334.0,0.0,0.0,0.23922,-0.07237,-0.76682,0.64202,0.03885,0.19711,-2.21957,7.47163,0.08151,0.0,0.0,0.0,0.01081,0.11099,0.3415,0.4013,0.03975,0.01414,0.8949,0.02359,0.00947,0.07203,5.0,6.0,3.0,7.5,4.0,7.5,1.0,2.0,5.0,6.0,3.0,7.5,4.0,7.5,1.0,2.0
data_k12d24n12,tabular,500,24,0.41667,0.0,168.0,0.0,0.0,0.23651,-0.00073,-1.00468,0.71808,0.04753,0.21802,-2.43899,8.16148,0.08151,0.0,0.0,0.0,0.0,0.02701,0.09895,0.45245,0.28609,54,0.89206,0.02643,0.0001,0.08141,6.0,8.0,7.0,4.0,3.0,5.0,2.0,1.0,6.0,8.0,7.0,4.0,3.0,5.0,2.0,1.0
data_k12d24n13,tabular,500,24,375.0,0.0,18.0,0.0,0.0,0.2409,0.21645,-0.98279,0.68644,0.04544,0.21316,-2.18153,7.37385,0.08151,0.0,0.0,0.0,0.0,0.03373,0.26628,0.37412,0.19792,0.04644,0.87184,0.04665,0.00793,0.07358,4.0,7.0,3.0,8.0,5.0,6.0,1.0,2.0,4.0,7.0,3.0,8.0,5.0,6.0,1.0,2.0
data_k12d24n14,tabular,500,24,375.0,0.0,18.0,0.0,0.0,0.23321,-0.01448,-1.04287,0.73062,0.05196,0.22794,-2.25862,7.54761,0.08151,0.0,0.0,0.0,0.0,0.02488,0.10989,0.35694,0.3043,0.12248,0.87764,0.04085,0.00132,0.08018,3.0,6.0,5.0,7.0,4.0,8.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,1.0,2.0
data_k12d24n15,tabular,500,24,375.0,0.0,166.0,0.0,0.0,0.25327,-0.10019,-1.04609,0.62876,0.03905,0.19761,-2.1142,7.26454,0.08151,0.0,0.0,0.0,0.00624,0.13635,0.41341,0.28716,0.06152,0.0138,0.86536,0.05313,0.01099,0.07052,5.0,6.5,4.0,6.5,3.0,8.0,2.0,1.0,5.0,6.5,4.0,6.5,3.0,8.0,2.0,1.0
data_k14d22n11,tabular,500,22,0.45455,0.0,74.0,0.0,0.0,0.21863,-0.06036,-1.00553,0.67218,0.03914,0.19784,-2.3025,8.23466,0.06958,0.0,0.0,0.0,0.00063,0.10432,0.2381,0.43848,0.12374,0.02515,0.88286,0.04756,0.0,0.06958,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0,4.5,7.0,4.5,8.0,3.0,6.0,1.0,2.0
data_k14d22n12,tabular,500,22,0.45455,0.0,8.0,0.0,0.0,0.25312,0.20592,-0.80572,0.63624,0.04082,0.20205,-1.66035,6.29097,0.06958,0.0,0.0,0.00019,0.06568,0.12609,0.38543,0.18985,0.12667,0.03651,0.82345,0.10697,0.01804,0.05154,4.0,5.0,6.0,7.0,3.0,8.0,1.0,2.0,4.0,5.0,6.0,7.0,3.0,8.0,1.0,2.0
data_k14d22n13,tabular,500,22,0.45455,0.0,0.0,0.0,0.0,0.21589,0.02958,-1.06683,0.73242,0.04638,0.21536,-2.31473,8.24453,0.06958,0.0,0.0,0.0,0.00001,0.02248,0.16182,0.3419,0.27588,0.12834,0.87258,0.05784,0.0,0.06958,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0
data_k14d22n14,tabular,500,22,0.45455,0.0,14.0,0.0,0.0,0.22424,0.03424,-1.0746,0.71074,0.04328,0.20804,-2.3112,8.26506,0.06958,0.0,0.0,0.0,0.0,0.04737,0.1866,0.38105,0.23097,0.08443,0.89352,0.0369,0.0,0.06958,5.0,8.0,5.0,5.0,3.0,7.0,1.5,1.5,5.0,8.0,5.0,5.0,3.0,7.0,1.5,1.5
data_k14d22n15,tabular,500,22,0.45455,0.0,0.0,0.0,0.0,0.24217,0.12607,-1.0862,0.69668,0.04207,0.2051,-2.30879,8.23346,0.06958,0.0,0.0,0.0,0.01566,0.01971,0.25896,0.39438,0.19505,0.04665,0.8724,0.05802,0.0,0.06958,3.0,7.0,5.0,6.0,4.0,8.0,1.0,2.0,3.0,7.0,5.0,6.0,4.0,8.0,1.0,2.0
data_k14d23n12,tabular,500,23,0.47826,0.0,54.0,0.0,0.0,0.22323,-0.21507,-0.94759,0.7149,0.04189,0.20467,-2.51646,8.96433,0.06958,0.0,0.0,0.0,0.0,0.04109,0.1681,0.36826,316,0.03696,0.90313,0.02729,0.0,0.06958,5.5,7.5,5.5,4.0,3.0,7.5,1.0,2.0,5.5,7.5,5.5,4.0,3.0,7.5,1.0,2.0
data_k14d23n13,tabular,500,23,0.43478,0.0,72.0,0.0,0.0,0.2449,-0.0364,-1.14717,0.69384,0.04126,0.20314,-2.34596,8.41043,0.06958,0.0,0.0,0.0,0.00883,0.04189,0.25766,0.37322,0.21195,0.03687,0.88389,0.04653,0.0,0.06958,5.0,4.0,6.0,8.0,3.0,7.0,2.0,1.0,5.0,4.0,6.0,8.0,3.0,7.0,2.0,1.0
data_k14d23n14,tabular,500,23,0.43478,0.0,72.0,0.0,0.0,0.22802,0.0227,-0.93604,0.65606,0.03828,0.19566,-2.17739,7.82483,0.06958,0.0,0.0,0.0,0.02917,0.06978,0.37206,0.3076,0.13977,0.01205,0.88065,0.04977,0.0,0.06958,4.0,6.0,5.0,8.0,1.0,7.0,3.0,2.0,4.0,6.0,5.0,8.0,1.0,7.0,3.0,2.0
data_k14d24n11,tabular,500,24,0.41667,0.0,0.0,0.0,0.0,0.21843,-0.06669,-1.13243,0.69573,0.04036,0.2009,-2.45706,8843.0,0.06958,0.0,0.0,0.0,0.0,0.03487,0.28416,0.33727,0.25501,0.0191,0.90861,0.02181,0.0,0.06958,4.0,8.0,5.0,6.0,2.0,7.0,3.0,1.0,4.0,8.0,5.0,6.0,2.0,7.0,3.0,1.0
data_k14d24n12,tabular,500,24,0.45833,0.0,108.0,0.0,0.0,231.0,-0.09956,-1.07384,0.69681,0.03994,0.19985,-2.44375,8.81164,0.06958,0.0,0.0,0.0,0.0,0.03064,0.27218,0.34605,0.24275,0.03881,0.88917,0.04125,0.0,0.06958,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0,5.0,6.0,4.0,8.0,3.0,7.0,2.0,1.0
data_k14d24n13,tabular,500,24,0.41667,0.0,0.26,0.0,0.0,0.22844,0.20592,-0.87082,0.71381,0.04489,0.21187,-2.21315,7.97872,0.06958,0.0,0.0,0.0,0.0,0.03292,0.24388,0.3105,0.24961,0.09351,0.86891,0.06151,0.0,0.06958,4.0,8.0,5.0,6.0,3.0,7.0,2.0,1.0,4.0,8.0,5.0,6.0,3.0,7.0,2.0,1.0
data_k14d24n14,tabular,500,24,0.41667,0.0,12.0,0.0,0.0,0.22303,-0.09619,-1.02007,0.71709,0.04418,0.21019,-2.34815,8.46834,0.06958,0.0,0.0,0.0,0.0,0.03332,0.17537,0.39611,0.23671,0.0889,0.86888,0.06154,0.0,0.06958,5.0,7.0,3.0,6.0,4.0,8.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,8.0,2.0,1.0
data_k14d24n15,tabular,500,24,0.41667,0.0,72.0,0.0,0.0,0.23078,0.07861,-1.06592,0.69859,0.04265,0.20653,-2.23798,8.0179,0.06958,0.0,0.0,0.0,0.00874,0.03937,0.2642,0.33098,0.22319,0.06394,0.86757,0.06285,0.0,0.06958,4.0,8.0,6.0,5.0,3.0,7.0,2.0,1.0,4.0,8.0,6.0,5.0,3.0,7.0,2.0,1.0
data_k16d22n11,tabular,500,22,0.5,0.0,146.0,0.0,0.0,0.20879,-0.09851,-1.06518,737.0,0.04162,204.0,-2.51836,9.45877,0.06063,0.0,0.0,0.0,0.0009,0.03149,0.1679,0.31479,0.32317,0.10112,0.89554,0.04383,0.0,0.06063,3.5,6.0,3.5,8.0,5.0,7.0,2.0,1.0,3.5,6.0,3.5,8.0,5.0,7.0,2.0,1.0
data_k16d22n12,tabular,500,22,0.5,0.0,0.23,0.0,0.0,0.21622,0.03979,-1.09161,0.72049,0.04054,0.20133,-2.37276,8.90988,0.06063,0.0,0.0,0.0,0.0,0.06439,0.16999,0.3456,0.27154,0.08784,0.89104,0.04833,0.0,0.06063,4.0,6.0,5.0,8.0,3.0,7.0,2.0,1.0,4.0,6.0,5.0,8.0,3.0,7.0,2.0,1.0
data_k16d22n13,tabular,500,22,0.5,0.0,0.11,0.0,0.0,0.21546,-0.23498,-1.00969,0.71498,0.04056,0.20138,-2.3059,8.63339,0.06063,0.0,0.0,0.0,0.0081,0.04647,0.23966,0.28717,0.2883,0.06968,878.0,0.06136,0.0,0.06063,3.5,5.0,6.5,8.0,3.5,6.5,1.0,2.0,3.5,5.0,6.5,8.0,3.5,6.5,1.0,2.0
data_k16d22n14,tabular,500,22,0.5,0.0,62.0,0.0,0.0,0.22197,-0.1378,-1.14961,0.68127,0.03573,0.18903,-2.42277,9.26416,0.06063,0.0,0.0,0.0,0.00782,0.0833,0.23986,0.45809,0.12346,0.02684,0.87045,0.06891,0.0,0.06063,3.0,6.0,5.0,7.0,1.0,8.0,4.0,2.0,3.0,6.0,5.0,7.0,1.0,8.0,4.0,2.0
data_k16d22n15,tabular,500,22,0.54545,0.0,0.0,0.0,0.0,0.19831,-0.0655,-1.16329,0.74846,0.04159,0.20394,-2.61974,9.94419,0.06063,0.0,0.0,0.0,0.0,0.00883,0.15261,0.30099,0.36055,0.11638,0.89973,0.03964,0.0,0.06063,4.0,6.0,2.5,7.0,5.0,8.0,2.5,1.0,4.0,6.0,2.5,7.0,5.0,8.0,2.5,1.0
data_k16d23n11,tabular,500,23,0.47826,0.0,8.0,0.0,0.0,0.21473,-0.01477,-1.12951,0.68863,0.03685,0.19197,-2.43724,9.22802,0.06063,0.0,0.0,0.00125,0.00645,0.04913,0.28916,0.39256,0.16359,0.03722,0.88115,0.05821,0.0,0.06063,5.0,6.0,3.0,7.0,2.0,8.0,4.0,1.0,5.0,6.0,3.0,7.0,2.0,8.0,4.0,1.0
data_k16d23n12,tabular,500,23,0.52174,0.0,0.0,0.0,0.0,0.20322,0.03662,-1.19438,0.71001,0.03808,0.19515,-2.55726,9.61262,0.06063,0.0,0.0,0.0,0.0077,0.04135,0.17345,0.42539,0.25157,0.0399,0.89327,0.0461,0.0,0.06063,4.5,8.0,4.5,6.0,2.0,7.0,3.0,1.0,4.5,8.0,4.5,6.0,2.0,7.0,3.0,1.0
data_k16d23n13,tabular,500,23,0.47826,0.0,4.0,0.0,0.0,0.21615,-0.19086,-1.05953,0.65104,0.03497,187.0,-2.09464,7.94778,0.06063,0.0,0.0,0.00022,0.02763,0.16417,0.26402,0.34881,0.11712,0.01739,0.86269,0.07668,0.0,0.06063,5.0,6.0,4.0,8.0,3.0,7.0,1.0,2.0,5.0,6.0,4.0,8.0,3.0,7.0,1.0,2.0
data_k16d23n14,tabular,500,23,0.47826,0.0,124.0,0.0,0.0,0.21494,0.01435,-0.96965,0.72526,0.04091,0.20226,-2.44765,9.16911,0.06063,0.0,0.0,0.0,0.00773,0.03156,0.16787,0.38075,0.23988,0.11158,0.87565,0.06372,0.0,0.06063,3.0,6.5,4.0,6.5,2.0,8.0,5.0,1.0,3.0,6.5,4.0,6.5,2.0,8.0,5.0,1.0
data_k16d23n15,tabular,500,23,0.47826,0.0,0.0,0.0,0.0,0.22204,-0.02344,-1.19328,0.71791,0.04078,0.20195,-2.3956,8.88384,0.06063,0.0,0.0,0.00117,0.00685,0.04644,0.16713,0.34677,0.30697,0.06405,0.87841,0.06095,0.0,0.06063,4.0,7.0,5.0,6.0,2.0,8.0,3.0,1.0,4.0,7.0,5.0,6.0,2.0,8.0,3.0,1.0
data_k16d24n11,tabular,500,24,0.5,0.0,2.0,0.0,0.0,0.21452,0.06105,-1.0107,0.7231,0.04129,0.2032,-2.38117,8.92377,0.06063,0.0,0.0,0.0,0.00217,0.04058,0.18547,0.32429,0.29113,0.09573,0.86803,0.07133,0.0,0.06063,7.0,4.0,5.5,5.5,3.0,8.0,2.0,1.0,7.0,4.0,5.5,5.5,3.0,8.0,2.0,1.0
data_k16d24n12,tabular,500,24,0.45833,0.0,42.0,0.0,0.0,0.20902,0.02262,-1.06941,0.67373,0.03574,0.18905,-2.34758,8.95738,0.06063,0.0,0.0,0.0,0.02262,0.0662,0.30067,0.39967,0.11871,0.03149,879.0,0.06037,0.0,0.06063,4.0,7.0,5.0,8.0,1.0,6.0,3.0,2.0,4.0,7.0,5.0,8.0,1.0,6.0,3.0,2.0
data_k16d24n13,tabular,500,24,0.45833,0.0,94.0,0.0,0.0,0.20163,0.09543,-1.09572,0.7016,0.03766,0.19407,-2.46069,9.31721,0.06063,0.0,0.0,0.0,0.01311,0.03417,0.22889,0.41859,0.20002,0.04459,0.87453,0.06484,0.0,0.06063,4.0,2.0,5.5,5.5,8.0,7.0,3.0,1.0,4.0,2.0,5.5,5.5,8.0,7.0,3.0,1.0
data_k16d24n14,tabular,500,24,0.45833,0.0,64.0,0.0,0.0,0.21876,-0.1191,-0.98986,0.66881,0.03667,0.19148,-2.14464,8.24372,0.06063,0.0,0.0,0.0,22,0.10223,0.34696,0.29343,0.13195,0.0428,0.86018,0.07919,0.0,0.06063,4.5,6.0,4.5,8.0,2.5,7.0,2.5,1.0,4.5,6.0,4.5,8.0,2.5,7.0,2.5,1.0
data_k16d24n15,tabular,500,24,0.45833,0.0,0.0,0.0,0.0,0.22155,-0.0165,-1.00744,0.69478,0.03738,0.19333,-2.39431,9.12472,0.06063,0.0,0.0,0.0,0.0,0.07215,0.25109,0.3996,0.16812,0.04841,0.88253,0.05684,0.0,0.06063,2.5,6.0,5.0,7.0,2.5,8.0,4.0,1.0,2.5,6.0,5.0,7.0,2.5,8.0,4.0,1.0
data_k16d24n16,tabular,500,24,0.5,0.0,124.0,0.0,0.0,0.19189,0.08281,-1.05822,0.73263,0.03812,0.19524,-2.81831,10.8392,0.06063,0.0,0.0,0.0,0.0,0.0,0.16389,0.40441,0.31312,0.05795,0.91537,24.0,0.0,0.06063,5.0,7.0,4.0,8.0,2.5,6.0,2.5,1.0,5.0,7.0,4.0,8.0,2.5,6.0,2.5,1.0
data_k2d22n11,tabular,500,22,0.81818,0.0,46.0,0.0,0.0,0.2072,0.07898,-0.09647,0.46091,0.02715,0.16478,-0.02043,1.97537,0.00154,0.0429,0.16494,0.1911,0.14935,0.2042,0.18341,0.05651,0.0058,0.00025,0.60985,0.37634,0.01379,0.00002,7.0,4.0,3.0,8.0,5.0,6.0,1.0,2.0,7.0,4.0,3.0,8.0,5.0,6.0,1.0,2.0
data_k2d22n12,tabular,500,22,0.63636,0.0,46.0,0.0,0.0,0.4938,0.01181,-0.67887,0.45731,0.05975,0.24443,0.01526,1.29566,0.0121,0.17871,0.24821,0.05743,0.00362,0.04295,0.23754,0.18623,0.03203,0.00119,0.55641,0.44338,0.00021,0.0,2.0,6.5,4.0,6.5,5.0,8.0,1.0,3.0,2.0,6.5,4.0,6.5,5.0,8.0,1.0,3.0
